"state","communityname","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf"
51,"Fredericksburgcity",0.16,0.49,0.13,0.5,0.34,0.44
12,"Hallandalecity",0.47,0,0.17,0.25,0.24,0.38
39,"Mansfieldcity",0.58,0.28,0.67,0.35,0.67,0.29
55,"Milwaukeecity",0.59,0.42,0.51,0.45,0.56,0.3
22,"Pinevillecity",0.51,0.34,0.15,0.79,0.29,0.45
48,"GalenaParkcity",0.54,0.34,0.47,0.19,0.89,0.08
6,"LosBanoscity",0.69,0.35,0.22,0.34,0.47,0.28
4,"Avondalecity",0.76,0.35,0.34,0.24,0.56,0.23
27,"ColumbiaHeightscity",0.36,0.58,0.51,0.31,0.46,0.24
8,"CommerceCitycity",0.72,0.41,0.39,0.11,0.78,0.09
37,"RockyMountcity",0.34,0.52,0.67,0.27,0.74,0.36
6,"MenloParkcity",0.15,0.51,0.39,0.77,0.1,0.88
12,"FortPiercecity",0.86,0.2,0.13,0.36,0.46,0.21
36,"Middletowncity",0.41,0.51,0.27,0.59,0.47,0.35
37,"Morgantoncity",0.21,0.38,0.79,0.67,0.63,0.47
24,"Baltimorecity",0.61,0.35,0.26,0.56,0.45,0.34
34,"Gallowaytownship",0.22,0.68,0.09,0.26,0.26,0.35
12,"Sebastiancity",0.34,0.21,0.16,0.3,0.38,0.29
18,"Greenfieldcity",0.24,0.52,0.46,0.35,0.56,0.31
34,"Fairviewborough",0.49,0.49,0.36,0.24,0.39,0.36
25,"Sandwichtown",0.24,0.56,0.15,0.42,0.18,0.5
48,"Borgercity",0.47,0.28,0.43,0.22,0.5,0.3
1,"Annistoncity",0.79,0.22,0.44,0.43,0.54,0.41
25,"Everettcity",0.49,0.47,0.27,0.43,0.35,0.29
34,"NorthArlingtonborough",0.26,0.48,0.4,0.32,0.28,0.4
21,"Covingtoncity",0.49,0.39,0.38,0.28,0.53,0.25
42,"Springtownship",0.1,0.55,0.52,0.42,0.32,0.55
48,"WhiteSettlementcity",0.33,0.56,0.59,0.18,0.42,0.2
42,"Cranberrytownship",0.25,0.71,0.32,0.4,0.26,0.49
45,"Andersoncity",0.48,0.34,0.63,0.45,0.65,0.32
48,"NewBraunfelscity",0.36,0.39,0.41,0.44,0.46,0.39
6,"Oceansidecity",0.43,0.48,0.32,0.27,0.37,0.34
44,"Westerlytown",0.47,0.5,0.57,0.38,0.39,0.43
6,"Sacramentocity",0.49,0.42,0.14,0.43,0.29,0.48
55,"BrownDeervillage",0.04,0.7,0.55,0.44,0.33,0.62
28,"Meridiancity",0.63,0.28,0.35,0.5,0.43,0.37
23,"Windhamtown",0.24,0.6,0.35,0.38,0.42,0.38
34,"WestPatersonborough",0.22,0.65,0.52,0.31,0.3,0.49
36,"Romecity",0.35,0.37,0.29,0.57,0.35,0.39
9,"RockyHilltown",0.08,0.69,0.24,0.36,0.15,0.64
6,"SouthSanFranciscodivision",0.24,0.62,0.19,0.3,0.31,0.38
8,"GrandJunctioncity",0.56,0.3,0.19,0.52,0.39,0.4
12,"Longwoodcity",0.23,0.61,0.28,0.29,0.3,0.44
47,"Columbiacity",0.36,0.45,0.7,0.31,0.73,0.3
5,"Paragouldcity",0.44,0.36,0.79,0.31,0.84,0.22
39,"Vandaliacity",0.24,0.62,0.55,0.27,0.43,0.45
48,"Galvestoncity",0.59,0.4,0.09,0.85,0.31,0.44
47,"Tullahomacity",0.32,0.42,0.63,0.49,0.59,0.49
1,"Ozarkcity",0.45,0.38,0.27,0.43,0.44,0.37
34,"Irvingtontownship",0.67,0.54,0.4,0.46,0.61,0.23
34,"Ridgewoodvillage",0.14,0.56,0.28,0.67,0.08,0.96
39,"Centervillecity",0.09,0.59,0.49,0.57,0.16,0.87
47,"Brownsvillecity",0.57,0.38,0.84,0.24,0.89,0.24
55,"Manitowoccity",0.35,0.4,0.85,0.39,0.73,0.31
37,"Kannapoliscity",0.35,0.44,0.88,0.17,0.88,0.22
18,"Richmondcity",0.56,0.37,0.63,0.5,0.62,0.34
48,"Wacocity",0.55,0.27,0.35,0.57,0.48,0.36
49,"Springvillecity",0.25,0.47,0.52,0.51,0.48,0.35
29,"Raytowncity",0.2,0.54,0.31,0.39,0.34,0.4
12,"Homesteadcity",0.45,0.46,0.06,0.17,0.47,0.15
51,"FrontRoyaltown",0.38,0.48,0.27,0.32,0.47,0.23
33,"Londonderrytown",0.3,0.83,0.66,0.3,0.25,0.63
13,"Covingtoncity",0.8,0.27,0.69,0.23,0.85,0.2
39,"Beavercreekcity",0.14,0.66,0.41,0.61,0.23,0.77
6,"Commercecity",0.79,0.32,0.81,0.13,1,0.12
25,"Plymouthtown",0.45,0.55,0.23,0.41,0.29,0.41
53,"Spokanecity",0.53,0.35,0.22,0.56,0.35,0.42
8,"CanonCitycity",0.61,0.11,0.18,0.5,0.29,0.39
34,"SouthOrangeVillagetownship",0.18,0.58,0.15,0.83,0.15,0.87
6,"Millbraecity",0.15,0.46,0.15,0.36,0.22,0.48
39,"GarfieldHeightscity",0.36,0.39,0.54,0.35,0.47,0.27
34,"Bellmawrborough",0.31,0.53,0.37,0.17,0.48,0.18
53,"Everettcity",0.39,0.48,0.69,0.25,0.48,0.3
49,"Sandycity",0.17,0.74,0.27,0.4,0.22,0.51
13,"Romecity",0.47,0.33,0.57,0.56,0.65,0.37
37,"Hickorycity",0.22,0.61,0.85,0.28,0.72,0.36
13,"Dublincity",0.55,0.28,0.6,0.53,0.54,0.4
53,"Aberdeencity",0.75,0.24,0.58,0.35,0.63,0.31
55,"Beloitcity",0.55,0.47,0.92,0.36,0.76,0.3
6,"MontereyParkcity",0.38,0.36,0.35,0.38,0.35,0.44
55,"Marshfieldcity",0.27,0.57,0.33,0.89,0.42,0.45
47,"Shelbyvillecity",0.38,0.42,0.93,0.15,0.91,0.18
12,"Edgewatercity",0.22,0.31,0.3,0.25,0.43,0.25
6,"Temeculacity",0.24,0.69,0.31,0.23,0.33,0.45
21,"Paducahcity",0.48,0.21,0.23,0.48,0.4,0.34
48,"Eulesscity",0.22,0.88,0.32,0.16,0.33,0.4
36,"Yorktowntown",0.16,0.61,0.27,0.6,0.13,0.68
48,"Austincity",0.39,0.62,0.23,0.56,0.22,0.56
53,"Richlandcity",0.29,0.56,0.24,0.83,0.18,0.73
39,"Fairborncity",0.4,0.47,0.3,0.48,0.39,0.46
47,"Morristowncity",0.51,0.31,1,0.24,0.88,0.19
34,"Pennsvilletownship",0.18,0.52,0.59,0.22,0.51,0.24
34,"Oaklandborough",0.13,0.7,0.37,0.44,0.18,0.66
28,"Vicksburgcity",0.61,0.22,0.33,0.44,0.47,0.36
25,"Sudburytown",0.1,0.73,0.53,0.65,0.09,1
34,"Waynetownship",0.2,0.6,0.44,0.42,0.19,0.65
53,"Pascocity",0.79,0.36,0.39,0.23,0.59,0.17
35,"Demingcity",1,0,0.13,0.3,0.37,0.26
9,"Norwalktown",0.26,0.69,0.46,0.37,0.28,0.55
39,"Middletowncity",0.51,0.38,0.7,0.36,0.59,0.31
25,"Ludlowtown",0.27,0.61,0.77,0.25,0.63,0.25
6,"SanBernardinocity",0.73,0.34,0.26,0.45,0.45,0.29
25,"Woburncity",0.34,0.69,0.37,0.48,0.27,0.5
5,"Jonesborocity",0.29,0.53,0.41,0.5,0.45,0.36
34,"Nutleytownship",0.3,0.53,0.46,0.39,0.25,0.56
55,"RiverFallscity",0.39,0.65,0.36,0.62,0.43,0.35
40,"MidwestCitycity",0.41,0.54,0.2,0.38,0.37,0.34
47,"Knoxvillecity",0.45,0.36,0.27,0.57,0.41,0.43
39,"Loraincity",0.62,0.3,0.7,0.39,0.72,0.22
41,"Beavertoncity",0.19,0.75,0.43,0.35,0.24,0.57
48,"Freeportcity",0.64,0.41,0.58,0.16,0.67,0.11
23,"PresqueIslecity",0.38,0.51,0.28,0.53,0.54,0.42
40,"Moorecity",0.25,0.73,0.36,0.32,0.5,0.29
55,"Kenoshacity",0.5,0.46,0.65,0.39,0.55,0.27
39,"Chillicothecity",0.73,0.24,0.55,0.49,0.55,0.37
6,"SantaRosacity",0.26,0.51,0.26,0.44,0.32,0.45
40,"Bartlesvillecity",0.26,0.4,0.34,0.41,0.24,0.56
42,"WestWhitelandtownship",0.14,0.73,0.44,0.56,0.15,0.8
34,"Bellevilletownship",0.3,0.56,0.43,0.32,0.41,0.36
5,"Russellvillecity",0.41,0.43,0.44,0.37,0.44,0.39
8,"Brightoncity",0.53,0.46,0.34,0.32,0.61,0.24
19,"Spencercity",0.04,0.6,0.33,0.42,0.54,0.34
12,"PembrokePinescity",0.17,0.48,0.15,0.38,0.14,0.49
25,"Leominstercity",0.45,0.59,0.73,0.32,0.48,0.45
39,"Columbuscity",0.36,0.58,0.24,0.48,0.34,0.46
5,"Stuttgartcity",0.43,0.46,0.59,0.36,0.51,0.32
36,"Auburncity",0.59,0.27,0.45,0.51,0.51,0.29
35,"Albuquerquecity",0.39,0.55,0.19,0.57,0.24,0.52
13,"Americuscity",0.72,0.27,0.52,0.54,0.63,0.37
36,"Fultoncity",0.7,0.31,0.6,0.39,0.61,0.3
6,"PicoRiveracity",0.55,0.41,0.61,0.2,0.78,0.15
44,"Warrentown",0.3,0.55,0.64,0.35,0.52,0.32
34,"Westwoodborough",0.18,0.6,0.33,0.4,0.19,0.57
8,"Lovelandcity",0.29,0.57,0.66,0.37,0.47,0.37
39,"Toledocity",0.67,0.36,0.44,0.5,0.54,0.33
6,"MorganHillcity",0.19,0.68,0.58,0.32,0.28,0.53
42,"Nanticokecity",0.48,0.21,0.52,0.4,0.68,0.22
45,"Hanahancity",0.12,0.64,0.36,0.24,0.4,0.36
55,"WestBendcity",0.16,0.64,0.85,0.26,0.66,0.31
34,"Burlingtontownship",0.25,0.62,0.42,0.29,0.45,0.3
34,"Lyndhursttownship",0.25,0.49,0.42,0.22,0.4,0.39
37,"NewBerncity",0.32,0.38,0.38,0.46,0.51,0.31
42,"Bensalemtownship",0.28,0.66,0.42,0.37,0.38,0.45
6,"Cypresscity",0.25,0.71,0.49,0.34,0.26,0.55
42,"Lancastertownship",0.15,0.51,0.52,0.57,0.41,0.53
25,"Cantontown",0.29,0.6,0.33,0.48,0.13,0.62
34,"UnionCitycity",0.74,0.47,0.69,0.13,1,0.17
6,"SantaFeSpringscity",0.57,0.42,0.66,0.22,0.69,0.17
34,"SouthRiverborough",0.34,0.5,0.6,0.19,0.64,0.24
18,"Merrillvilletown",0.22,0.49,0.54,0.29,0.43,0.33
19,"WestDesMoinescity",0.12,0.75,0.15,0.49,0.09,0.71
36,"Cohoescity",0.45,0.39,0.39,0.34,0.45,0.3
19,"Urbandalecity",0.07,0.85,0.17,0.46,0.15,0.67
41,"ForestGrovecity",0.38,0.42,0.63,0.49,0.59,0.34
6,"Carsoncity",0.46,0.57,0.64,0.32,0.5,0.3
9,"Stamfordtown",0.29,0.63,0.4,0.36,0.21,0.62
34,"EastWindsortownship",0.16,0.76,0.4,0.57,0.18,0.75
37,"Kinstoncity",0.53,0.28,0.66,0.56,0.69,0.36
23,"Sanfordtown",0.45,0.51,0.85,0.3,0.73,0.24
20,"Wichitacity",0.35,0.59,0.59,0.39,0.36,0.43
6,"Montereycity",0.07,0.71,0.12,0.56,0.17,0.59
6,"Belmontcity",0.16,0.75,0.32,0.4,0.17,0.61
34,"AsburyParkcity",0.82,0.42,0.34,0.49,0.58,0.26
18,"Plainfieldtown",0.09,0.63,0.29,0.39,0.36,0.42
34,"WestOrangetownship",0.21,0.53,0.26,0.52,0.16,0.64
1,"Florencecity",0.44,0.33,0.46,0.45,0.51,0.42
6,"LosAngelescity",0.55,0.5,0.41,0.36,0.46,0.42
38,"Minotcity",0.34,0.52,0.07,0.56,0.32,0.39
47,"Clevelandcity",0.33,0.44,0.78,0.38,0.69,0.38
6,"Lakewoodcity",0.23,0.59,0.59,0.27,0.32,0.42
48,"CorpusChristicity",0.54,0.45,0.19,0.45,0.31,0.37
48,"Denisoncity",0.46,0.35,0.58,0.39,0.65,0.23
6,"DiamondBarcity",0.17,0.76,0.42,0.35,0.16,0.67
12,"PalmBeachGardenscity",0.1,0.58,0.31,0.45,0.14,0.73
44,"Cranstoncity",0.36,0.42,0.43,0.43,0.33,0.45
36,"Ithacacity",0.28,0.21,0.08,1,0.12,0.67
42,"Whitehalltownship",0.22,0.52,0.56,0.32,0.46,0.39
39,"UniversityHeightscity",0.26,0.47,0.22,0.94,0.09,0.78
42,"LowerAllentownship",0.07,0.34,0.18,0.39,0.3,0.5
25,"Readingtown",0.3,0.65,0.38,0.58,0.19,0.69
18,"Lafayettecity",0.23,0.6,0.5,0.61,0.49,0.36
9,"Ansoniatown",0.48,0.51,0.69,0.32,0.49,0.28
34,"Barnegattownship",0.32,0.42,0.12,0.39,0.3,0.33
34,"CedarGrovetownship",0.14,0.45,0.32,0.44,0.17,0.64
29,"Hannibalcity",0.63,0.33,0.56,0.45,0.62,0.31
36,"Gloversvillecity",0.66,0.35,0.74,0.52,0.8,0.33
34,"CherryHilltownship",0.14,0.56,0.26,0.58,0.11,0.76
9,"Seymourtown",0.26,0.61,0.67,0.36,0.36,0.41
13,"Albanycity",0.74,0.35,0.35,0.45,0.48,0.36
48,"Mercedescity",1,0.07,0.21,0.49,0.52,0.22
42,"UpperDarbytownship",0.27,0.52,0.25,0.51,0.26,0.47
56,"Laramiecity",0.27,0.44,0.09,1,0.21,0.57
40,"Okmulgeecity",0.73,0.15,0.3,0.62,0.5,0.26
42,"Harrisburgcity",0.7,0.42,0.18,0.37,0.45,0.33
47,"Germantowncity",0.07,0.68,0.26,0.45,0.04,0.81
34,"Middlesexborough",0.19,0.7,0.51,0.32,0.35,0.45
9,"NorthHaventown",0.18,0.61,0.38,0.48,0.31,0.52
39,"Massilloncity",0.6,0.28,0.65,0.39,0.69,0.26
36,"WhitePlainscity",0.29,0.56,0.17,0.66,0.15,0.68
25,"Haverhillcity",0.45,0.54,0.63,0.41,0.37,0.46
18,"Elkhartcity",0.29,0.6,1,0.14,0.89,0.23
1,"Troycity",0.48,0.28,0.34,0.65,0.48,0.42
36,"NewYorkcity",0.6,0.38,0.24,0.55,0.33,0.49
6,"Monroviacity",0.38,0.59,0.4,0.4,0.36,0.43
36,"Corningcity",0.43,0.34,0.83,0.44,0.44,0.48
6,"PaloAltocity",0.08,0.64,0.59,0.82,0.05,1
12,"Sanfordcity",0.35,0.47,0.4,0.27,0.51,0.29
21,"Erlangercity",0.12,0.77,0.39,0.22,0.45,0.31
54,"Bluefieldcity",0.34,0.18,0.15,0.52,0.32,0.49
18,"Portagecity",0.38,0.46,0.72,0.27,0.65,0.25
36,"Lackawannacity",0.56,0.28,0.38,0.46,0.5,0.2
42,"LowerMakefieldtownship",0.13,0.69,0.38,0.58,0.1,0.88
6,"Uplandcity",0.3,0.62,0.36,0.43,0.27,0.52
42,"Williamsportcity",0.64,0.3,0.6,0.46,0.7,0.27
29,"Independencecity",0.32,0.54,0.39,0.3,0.51,0.29
25,"Salemcity",0.46,0.53,0.39,0.52,0.3,0.47
6,"RedBluffcity",0.67,0.21,0.48,0.32,0.6,0.23
36,"GlensFallscity",0.35,0.5,0.46,0.48,0.52,0.39
39,"Tallmadgecity",0.31,0.45,0.56,0.46,0.33,0.47
46,"RapidCitycity",0.3,0.59,0.25,0.5,0.31,0.4
45,"Gaffneycity",0.62,0.4,0.98,0.24,1,0.23
6,"RanchoPalosVerdescity",0.08,0.53,0.48,0.53,0.08,0.97
13,"Carrolltoncity",0.48,0.37,0.55,0.44,0.69,0.33
55,"EauClairecity",0.36,0.46,0.29,0.62,0.37,0.42
33,"Milfordtown",0.32,0.72,0.76,0.19,0.46,0.43
25,"Beverlycity",0.32,0.59,0.42,0.54,0.28,0.52
6,"Mercedcity",0.67,0.36,0.29,0.52,0.48,0.38
56,"Cheyennecity",0.38,0.56,0.06,0.44,0.32,0.48
34,"Staffordtownship",0.38,0.34,0.1,0.38,0.31,0.31
23,"Brunswicktown",0.2,0.58,0.36,0.67,0.32,0.54
48,"Kerrvillecity",0.41,0.14,0.18,0.81,0.26,0.39
55,"Glendalecity",0.1,0.4,0.39,0.66,0.19,0.74
18,"Garycity",1,0.19,0.6,0.52,0.67,0.23
34,"Trentoncity",0.74,0.37,0.35,0.45,0.54,0.23
51,"Waynesborocity",0.27,0.42,0.8,0.33,0.66,0.36
28,"MossPointcity",1,0.23,0.91,0.32,0.69,0.22
21,"Glasgowcity",0.6,0.21,0.59,0.41,0.7,0.25
41,"Tigardcity",0.21,0.68,0.35,0.36,0.24,0.53
48,"Weslacocity",1,0.11,0.23,0.7,0.42,0.36
25,"Brocktoncity",0.61,0.48,0.39,0.39,0.51,0.28
12,"BocaRatoncity",0.15,0.42,0.15,0.42,0.11,0.63
46,"SiouxFallscity",0.13,0.7,0.27,0.47,0.37,0.38
6,"Dinubacity",1,0.3,0.16,0.32,0.46,0.19
9,"Hartfordtown",0.73,0.33,0.33,0.51,0.46,0.3
1,"Saralandcity",0.24,0.44,0.53,0.3,0.56,0.24
49,"Bountifulcity",0.18,0.56,0.29,0.54,0.27,0.55
25,"Sharontown",0.25,0.71,0.29,0.7,0.07,0.84
12,"Ocoeecity",0.3,0.69,0.23,0.15,0.42,0.22
48,"Donnacity",1,0.08,0.25,0.54,0.52,0.27
34,"RiverEdgeborough",0.13,0.58,0.27,0.6,0.16,0.7
6,"Stantoncity",0.55,0.58,0.63,0.17,0.53,0.31
1,"Hartsellecity",0.33,0.51,0.67,0.39,0.59,0.34
51,"Radfordcity",0.37,0.13,0.4,0.84,0.39,0.51
6,"Breacity",0.15,0.74,0.49,0.36,0.24,0.62
9,"SouthWindsortown",0.08,0.85,0.45,0.31,0.2,0.6
42,"Yorktownship",0.09,0.62,0.62,0.36,0.48,0.49
50,"Rutlandcity",0.38,0.45,0.31,0.36,0.41,0.35
25,"Norwoodtown",0.27,0.58,0.3,0.52,0.23,0.53
47,"Athenscity",0.62,0.28,0.86,0.29,0.8,0.33
6,"Saratogacity",0.12,0.52,0.74,0.51,0.05,1
6,"Arcadiacity",0.18,0.46,0.25,0.51,0.11,0.72
18,"Huntingtoncity",0.3,0.55,0.98,0.34,0.9,0.24
48,"SanBenitocity",0.98,0.19,0.26,0.51,0.52,0.27
29,"Ballwincity",0.07,0.74,0.35,0.42,0.17,0.64
37,"Raleighcity",0.21,0.66,0.26,0.51,0.19,0.59
48,"FortWorthcity",0.48,0.5,0.49,0.35,0.48,0.39
41,"GrantsPasscity",0.62,0.26,0.46,0.44,0.57,0.34
6,"RedondoBeachcity",0.16,0.86,0.58,0.27,0.13,0.73
1,"Hueytowncity",0.31,0.41,0.29,0.37,0.34,0.27
13,"Atlantacity",0.61,0.4,0.19,0.46,0.4,0.45
6,"Bellcity",0.86,0.34,0.9,0.06,1,0.03
25,"Bostoncity",0.54,0.48,0.2,0.73,0.26,0.53
6,"YubaCitycity",0.75,0.37,0.2,0.43,0.29,0.36
34,"Mantuatownship",0.15,0.58,0.42,0.4,0.37,0.43
49,"WestJordancity",0.18,0.79,0.41,0.28,0.49,0.31
44,"CentralFallscity",0.66,0.38,1,0.13,1,0.06
51,"Roanokecity",0.32,0.44,0.36,0.39,0.52,0.29
39,"Youngstowncity",1,0.05,0.42,0.54,0.64,0.22
47,"Chattanoogacity",0.43,0.38,0.4,0.41,0.5,0.37
27,"Hopkinscity",0.07,0.75,0.45,0.29,0.28,0.43
12,"Daniacity",0.59,0.32,0.14,0.36,0.34,0.31
55,"NewBerlincity",0.09,0.77,0.55,0.4,0.32,0.53
39,"WarrensvilleHeightscity",0.62,0.57,0.49,0.55,0.59,0.32
6,"ElCajoncity",0.45,0.5,0.26,0.37,0.32,0.34
42,"Philadelphiacity",0.65,0.3,0.29,0.58,0.4,0.37
12,"Rockledgecity",0.32,0.57,0.41,0.43,0.27,0.53
53,"Bremertoncity",0.47,0.47,0.42,0.36,0.33,0.29
34,"Freeholdtownship",0.15,0.61,0.3,0.45,0.15,0.64
4,"Prescottcity",0.43,0.15,0.13,0.68,0.26,0.45
6,"HuntingtonParkcity",0.89,0.43,0.98,0.04,1,0.05
53,"Yakimacity",0.67,0.32,0.28,0.5,0.46,0.38
6,"Cupertinocity",0.11,0.74,0.86,0.36,0.1,0.94
39,"Masoncity",0.12,0.72,0.61,0.28,0.44,0.42
51,"Portsmouthcity",0.47,0.41,0.41,0.41,0.46,0.29
6,"NationalCitycity",0.53,0.48,0.41,0.27,0.56,0.14
13,"Augustacity",0.65,0.16,0.3,0.66,0.45,0.34
47,"Gallatincity",0.41,0.47,0.74,0.33,0.76,0.28
48,"Dallascity",0.48,0.58,0.3,0.33,0.39,0.44
34,"Bridgewatertownship",0.1,0.75,0.39,0.43,0.2,0.71
39,"Marioncity",0.75,0.36,0.61,0.33,0.68,0.23
48,"Pasadenacity",0.47,0.52,0.43,0.22,0.5,0.24
6,"BellGardenscity",0.94,0.38,0.86,0.04,1,0.01
6,"Coltoncity",0.65,0.5,0.32,0.42,0.52,0.3
41,"Albanycity",0.43,0.46,0.63,0.35,0.66,0.25
41,"Hermistoncity",0.68,0.42,0.52,0.24,0.69,0.25
23,"Gorhamtown",0.34,0.63,0.32,0.55,0.39,0.44
6,"NewportBeachcity",0.13,0.62,0.29,0.44,0.07,0.86
51,"Charlottesvilledistrict",0.15,0.7,0.22,0.83,0.12,0.7
39,"Alliancecity",0.8,0.24,0.63,0.56,0.69,0.28
40,"McAlestercity",0.6,0.15,0.28,0.43,0.33,0.38
12,"WinterParkcity",0.16,0.31,0.11,0.74,0.15,0.77
42,"Lansdowneborough",0.2,0.61,0.28,0.63,0.2,0.59
21,"FortThomascity",0.14,0.52,0.34,0.56,0.22,0.61
39,"Springfieldcity",0.58,0.31,0.54,0.52,0.64,0.3
27,"CottageGrovecity",0.23,0.85,0.58,0.3,0.43,0.34
48,"Georgetowncity",0.31,0.49,0.37,0.66,0.3,0.46
21,"Somersetcity",0.35,0.15,0.33,0.51,0.39,0.37
9,"Bloomfieldtown",0.26,0.56,0.27,0.52,0.27,0.59
6,"Covinacity",0.31,0.61,0.39,0.33,0.37,0.4
29,"BlueSpringscity",0.19,0.76,0.33,0.37,0.32,0.44
48,"Pampacity",0.34,0.36,0.33,0.25,0.55,0.26
34,"Oceantownship",0.26,0.65,0.22,0.46,0.21,0.67
33,"Portsmouthcity",0.3,0.68,0.32,0.37,0.26,0.5
41,"LakeOswegocity",0.13,0.66,0.23,0.63,0.07,0.88
6,"PacificGrovecity",0.18,0.57,0.11,0.62,0.15,0.65
6,"Lawndalecity",0.48,0.62,0.63,0.09,0.44,0.28
42,"Carlisleborough",0.17,0.47,0.33,0.67,0.43,0.51
42,"Radnortownship",0.17,0.38,0.21,0.89,0.06,0.9
6,"Comptoncity",1,0.26,0.69,0.3,0.89,0.13
13,"Maconcity",0.55,0.34,0.3,0.46,0.48,0.31
39,"Norwalkcity",0.5,0.48,0.79,0.28,0.78,0.29
6,"Downeycity",0.32,0.52,0.52,0.27,0.42,0.36
48,"Grovescity",0.28,0.3,0.53,0.36,0.41,0.31
12,"MiamiShoresvillage",0.27,0.51,0.12,0.61,0.19,0.67
22,"Gretnacity",0.76,0.16,0.2,0.33,0.48,0.18
39,"Norwoodcity",0.43,0.45,0.55,0.18,0.68,0.18
12,"RoyalPalmBeachvillage",0.24,0.56,0.14,0.45,0.18,0.42
37,"Lumbertoncity",0.57,0.32,0.65,0.44,0.64,0.44
42,"Swissvaleborough",0.41,0.36,0.26,0.75,0.26,0.56
33,"Durhamtown",0.51,0.25,0.15,1,0.09,0.59
23,"Portlandcity",0.42,0.53,0.19,0.57,0.28,0.51
48,"Planocity",0.12,0.82,0.41,0.28,0.11,0.72
51,"Alexandriacity",0.17,0.82,0.06,0.55,0.13,0.84
25,"Amesburytown",0.54,0.57,0.6,0.4,0.41,0.43
37,"Shelbycity",0.56,0.33,0.85,0.35,0.85,0.33
28,"Tupelocity",0.25,0.58,0.6,0.39,0.53,0.44
6,"Danvillecity",0.08,0.7,0.26,0.4,0.07,0.79
24,"Greenbeltcity",0.19,0.81,0.1,0.7,0.11,0.71
38,"Dickinsoncity",0.28,0.52,0.11,0.52,0.39,0.36
44,"Warwickcity",0.32,0.54,0.45,0.42,0.34,0.43
39,"Nortoncity",0.31,0.48,0.58,0.3,0.46,0.37
50,"SouthBurlingtoncity",0.09,0.69,0.25,0.6,0.19,0.68
48,"DelRiocity",0.97,0.24,0.14,0.39,0.35,0.29
6,"Dublincity",0.17,0.45,0.32,0.21,0.2,0.5
21,"Owensborocity",0.51,0.4,0.41,0.43,0.51,0.33
55,"StevensPointcity",0.36,0.38,0.26,0.64,0.43,0.38
25,"Maynardtown",0.36,0.67,0.78,0.35,0.24,0.56
53,"Kennewickcity",0.44,0.55,0.24,0.53,0.33,0.45
39,"Wickliffecity",0.24,0.44,0.71,0.33,0.41,0.32
37,"Carrborotown",0.28,0.72,0.11,1,0.11,0.65
6,"Duartecity",0.4,0.5,0.49,0.4,0.38,0.44
19,"Bettendorfcity",0.2,0.66,0.37,0.42,0.25,0.59
48,"SanMarcoscity",0.68,0.32,0.18,0.73,0.37,0.42
41,"Bendcity",0.23,0.62,0.37,0.36,0.45,0.41
34,"Delrantownship",0.24,0.66,0.39,0.39,0.3,0.5
6,"GroverCitycity",0.34,0.52,0.25,0.3,0.39,0.24
9,"Plainvilletown",0.27,0.67,0.57,0.32,0.4,0.34
34,"Waterfordtownship",0.16,0.72,0.28,0.37,0.39,0.36
48,"Bryancity",0.35,0.57,0.17,0.78,0.37,0.44
12,"NewSmyrnaBeachcity",0.43,0.03,0.22,0.31,0.28,0.39
47,"Cookevillecity",0.41,0.39,0.45,0.48,0.45,0.41
6,"Portervillecity",0.89,0.24,0.21,0.59,0.38,0.32
1,"Dothancity",0.28,0.51,0.4,0.43,0.48,0.4
34,"Branchburgtownship",0.2,0.8,0.39,0.35,0.2,0.71
21,"Hopkinsvillecity",0.63,0.35,0.5,0.42,0.52,0.32
36,"Oswegocity",0.54,0.28,0.24,0.64,0.33,0.42
29,"Sedaliacity",0.61,0.37,0.55,0.42,0.69,0.29
47,"RedBankcity",0.28,0.49,0.32,0.34,0.44,0.36
34,"EastOrangecity",0.81,0.46,0.32,0.63,0.47,0.3
36,"Schenectadycity",0.45,0.4,0.24,0.57,0.32,0.36
49,"Murraycity",0.15,0.66,0.3,0.35,0.35,0.41
47,"McMinnvillecity",0.45,0.34,0.76,0.23,0.89,0.2
6,"Alhambracity",0.37,0.45,0.35,0.38,0.35,0.43
47,"Jacksoncity",0.43,0.41,0.47,0.48,0.52,0.36
34,"Phillipsburgtown",0.4,0.42,0.65,0.31,0.59,0.14
5,"PineBluffcity",0.76,0.27,0.4,0.53,0.53,0.33
34,"Parsippany-TroyHillstownship",0.14,0.75,0.45,0.31,0.23,0.57
37,"Garnertown",0.12,0.76,0.22,0.37,0.24,0.49
25,"Cambridgecity",0.3,0.57,0.19,1,0.15,0.82
44,"Johnstontown",0.29,0.51,0.49,0.35,0.42,0.33
1,"VestaviaHillscity",0.09,0.49,0.15,0.72,0.04,0.91
34,"Clarktownship",0.21,0.48,0.48,0.42,0.26,0.56
34,"Hackensackcity",0.35,0.6,0.43,0.39,0.38,0.45
13,"LaGrangecity",0.58,0.39,0.84,0.35,0.78,0.31
55,"Greendalevillage",0.08,0.66,0.52,0.46,0.24,0.63
12,"Plantationcity",0.2,0.61,0.18,0.44,0.11,0.63
41,"Roseburgcity",0.46,0.32,0.44,0.45,0.55,0.36
12,"PalmBaycity",0.35,0.55,0.57,0.23,0.34,0.38
55,"Onalaskacity",0.12,0.78,0.42,0.51,0.41,0.49
41,"CoosBaycity",0.66,0.3,0.29,0.45,0.46,0.35
